                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.03454,                      1,                      1,                0.90479,             0.00050548,             0.00050548,             0.00050548
                     62,                0.00804,                      1,                      1,                0.90479,             0.00050194,             0.00050194,             0.00050194
                     63,                0.00059,                      1,                      1,                0.90479,             0.00049841,             0.00049841,             0.00049841
                     64,                0.00135,                      1,                      1,                0.90479,             0.00049487,             0.00049487,             0.00049487
                     65,                0.00144,                      1,                      1,                0.90479,             0.00049134,             0.00049134,             0.00049134
                     66,                0.00074,                      1,                      1,                0.90479,              0.0004878,              0.0004878,              0.0004878
                     67,                0.01201,                      1,                      1,                0.90479,             0.00048427,             0.00048427,             0.00048427
                     68,                0.00165,                      1,                      1,                0.90479,             0.00048074,             0.00048074,             0.00048074
                     69,                0.00477,                      1,                      1,                0.90479,              0.0004772,              0.0004772,              0.0004772
                     70,                0.02057,                      1,                      1,                0.90479,             0.00047367,             0.00047367,             0.00047367
                     71,                0.00884,                      1,                      1,                0.90479,             0.00047013,             0.00047013,             0.00047013
                     72,                0.00503,                      1,                      1,                0.90479,              0.0004666,              0.0004666,              0.0004666
                     73,                0.00416,                      1,                      1,                0.90479,             0.00046306,             0.00046306,             0.00046306
                     74,                0.00174,                      1,                      1,                0.90479,             0.00045953,             0.00045953,             0.00045953
                     75,                0.00374,                      1,                      1,                0.90479,               0.000456,               0.000456,               0.000456
                     76,                0.00945,                      1,                      1,                0.90479,             0.00045246,             0.00045246,             0.00045246
                     77,                0.00268,                      1,                      1,                0.90479,             0.00044893,             0.00044893,             0.00044893
                     78,                0.00304,                      1,                      1,                0.90479,             0.00044539,             0.00044539,             0.00044539
                     79,                0.00257,                      1,                      1,                0.90479,             0.00044186,             0.00044186,             0.00044186
                     80,                0.00305,                      1,                      1,                0.90479,             0.00043832,             0.00043832,             0.00043832
                     81,                0.00647,                      1,                      1,                0.90479,             0.00043479,             0.00043479,             0.00043479
                     82,                0.00109,                      1,                      1,                0.90479,             0.00043126,             0.00043126,             0.00043126
                     83,                0.00212,                      1,                      1,                0.90479,             0.00042772,             0.00042772,             0.00042772
                     84,                0.00463,                      1,                      1,                0.90479,             0.00042419,             0.00042419,             0.00042419
                     85,                0.00155,                      1,                      1,                0.90479,             0.00042065,             0.00042065,             0.00042065
                     86,                0.00187,                      1,                      1,                0.90479,             0.00041712,             0.00041712,             0.00041712
                     87,                0.01404,                      1,                      1,                0.90479,             0.00041358,             0.00041358,             0.00041358
                     88,                0.00143,                      1,                      1,                0.90479,             0.00041005,             0.00041005,             0.00041005
                     89,                0.00093,                      1,                      1,                0.90479,             0.00040652,             0.00040652,             0.00040652
                     90,                0.02018,                      1,                      1,                0.90479,             0.00040298,             0.00040298,             0.00040298
                     91,                0.00106,                      1,                      1,                0.90479,             0.00039945,             0.00039945,             0.00039945
                     92,                0.01356,                      1,                      1,                0.90479,             0.00039591,             0.00039591,             0.00039591
                     93,                 0.0018,                      1,                      1,                0.90479,             0.00039238,             0.00039238,             0.00039238
